,resolution_description
435425,The Department of Environmental Protection investigated this complaint and replaced the manhole cover.
471900,The complainant may file a FOIL (Freedom of Information Law) request for more information. The FOIL application may be found at www.nyc.gov/DEP.
472990,The Department of Environmental Protection investigated this complaint and opened a hydrant by request.
477983,The Department of Environmental Protection investigated this complaint and restored the water main to service.
493522,The Department of Environmental Protection investigated this condition and referred it to the Bureau of Water and Sewer Operations for further action.
506478,The Department of Environmental Protection has investigated this complaint. The repair was referred to a contractor for further action.
532008,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.
556573,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.
565509,"The Department of Environmental Protection inspected your complaint and repaired the problem. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint."
628263,The Department of Environmental Protection investigated this complaint and no violation was found.
699834,"The Department of Environmental Protection attempted to investigate this complaint but could not gain access to the location to verify the condition. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
717571,The Department of Environmental Protection determined that this complaint is not under its jurisdiction and referred it to another City agency for further action.
755767,The Department of Environmental Protection attempted to investigate this complaint but could not locate the address provided.
759444,The Department of Environmental Protection investigated this complaint and determined that no further action is required.
763874,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.
785440,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint."
804407,The Department of Environmental Protection investigated this complaint and reset or replaced the manhole casting.
838598,The Department of Environmental Protection investigated this complaint and resolved the issue during a field inspection. The agency flushed the sewer in front of the complainant's address as a courtesy.
